vehicleTypePSI;technologyPSI;univocalName;technology
Large;BEV;Large Car and SUV;BEV
Large;FCEV;Large Car and SUV;FCEV
Large;HEV-p;;
Large;ICEV-d;Large Car and SUV;Liquids
Large;ICEV-g;Large Car and SUV;NG
Large;ICEV-p;Large Car and SUV;Liquids
Large;PHEV-d;Large Car and SUV;Hybrid electric
Large;PHEV-p;Large Car and SUV;Hybrid electric
Lower medium;BEV;Compact Car;BEV
Lower medium;FCEV;Compact Car;FCEV
Lower medium;HEV-p;;
Lower medium;ICEV-d;Compact Car;Liquids
Lower medium;ICEV-g;Compact Car;NG
Lower medium;ICEV-p;Compact Car;Liquids
Lower medium;PHEV-d;Compact Car;Hybrid electric
Lower medium;PHEV-p;Compact Car;Hybrid electric
Medium;BEV;Midsize Car;BEV
Medium;FCEV;Midsize Car;FCEV
Medium;HEV-p;;
Medium;ICEV-d;Midsize Car;Liquids
Medium;ICEV-g;Midsize Car;NG
Medium;ICEV-p;Midsize Car;Liquids
Medium;PHEV-d;Midsize Car;Hybrid electric
Medium;PHEV-p;Midsize Car;Hybrid electric
Mini;BEV;Mini Car;BEV
Mini;FCEV;Mini Car;FCEV
Mini;HEV-p;;
Mini;ICEV-d;Mini Car;Liquids
Mini;ICEV-g;Mini Car;NG
Mini;ICEV-p;Mini Car;Liquids
Mini;PHEV-p;Mini Car;Hybrid electric
Mini;PHEV-d;Mini Car;Hybrid electric
SUV;BEV;;
SUV;FCEV;;
SUV;HEV-p;;
SUV;ICEV-d;;
SUV;ICEV-g;;
SUV;ICEV-p;;
SUV;PHEV-p;;
SUV;PHEV-d;;
Small;BEV;Subcompact Car;BEV
Small;FCEV;Subcompact Car;FCEV
Small;HEV-p;;
Small;ICEV-d;Subcompact Car;Liquids
Small;ICEV-g;Subcompact Car;NG
Small;ICEV-p;Subcompact Car;Liquids
Small;PHEV-p;Subcompact Car;Hybrid electric
Small;PHEV-d;Subcompact Car;Hybrid electric
Van;BEV;Van;BEV
Van;FCEV;Van;FCEV
Van;HEV-p;;
Van;ICEV-d;Van;Liquids
Van;ICEV-g;Van;NG
Van;ICEV-p;Van;Liquids
Van;PHEV-p;Van;Hybrid electric
Van;PHEV-d;Van;Hybrid electric
3.5t;BEV;Truck (0-3.5t);BEV
3.5t;FCEV;Truck (0-3.5t);FCEV
3.5t;HEV-d;;
3.5t;ICEV-d;Truck (0-3.5t);Liquids
3.5t;ICEV-g;Truck (0-3.5t);NG
3.5t;PHEV-d;;
7.5t;BEV;Truck (7.5t);BEV
7.5t;FCEV;Truck (7.5t);FCEV
7.5t;HEV-d;;
7.5t;ICEV-d;Truck (7.5t);Liquids
7.5t;ICEV-g;Truck (7.5t);NG
7.5t;PHEV-d;;
18t;BEV;Truck (18t);BEV
18t;FCEV;Truck (18t);FCEV
18t;HEV-d;;
18t;ICEV-d;Truck (18t);Liquids
18t;ICEV-g;Truck (18t);NG
18t;PHEV-d;;
26t;BEV;Truck (26t);BEV
26t;FCEV;Truck (26t);FCEV
26t;HEV-d;;
26t;ICEV-d;Truck (26t);Liquids
26t;ICEV-g;Truck (26t);NG
26t;PHEV-d;;
32t;BEV;;
32t;FCEV;;
32t;HEV-d;;
32t;ICEV-d;;
32t;ICEV-g;;
32t;PHEV-d;;
40t;BEV;Truck (40t);BEV
40t;FCEV;Truck (40t);FCEV
40t;HEV-d;;
40t;ICEV-d;Truck (40t);Liquids
40t;ICEV-g;Truck (40t);NG
40t;PHEV-d;;
60t;BEV;;
60t;FCEV;;
60t;HEV-d;;
60t;ICEV-d;;
60t;ICEV-g;;
60t;PHEV-d;;
Large;PHEV;Large Car and SUV;Hybrid electric
Lower medium;PHEV;Compact Car;Hybrid electric
Medium;PHEV;Midsize Car;Hybrid electric
Mini;PHEV;Mini Car;Hybrid electric
SUV;PHEV;;
Small;PHEV;Subcompact Car;Hybrid electric
Van;PHEV;Van;Hybrid electric
3.5t;PHEV;;
7.5t;PHEV;;
18t;PHEV;;
26t;PHEV;;
32t;PHEV;;
40t;PHEV;;
60t;PHEV;;
